Year	Host	classification	n_isolates
2021	duck	fully_local	2
2021	duck	largely_local	1
2022	duck	fully_local	2
2022	goose	fully_local	1
2023	Duck	fully_local	3
2023	chicken	fully_local	5
2023	chicken	largely_local	1
2023	duck	fully_local	23
2023	duck	largely_local	17
2023	goose	fully_local	1
2025	Avian	fully_local	3
2025	Duck	fully_local	9
2025	Duck	largely_local	3
