LABELS
SEPARATOR TAB
DATA
EPI515210|NA|A/Madagascar/00153/2014|EPI_ISL_158848|A_/_H3N2	Madagascar/00153/2014
EPI589782|NA|A/Madagascar/269/2014|EPI_ISL_179362|A_/_H3N2	Madagascar/269/2014
EPI515214|NA|A/Madagascar/04228/2013|EPI_ISL_158850|A_/_H3N2	Madagascar/04228/2013
EPI515212|NA|A/Madagascar/00153/2014|EPI_ISL_158849|A_/_H3N2	Madagascar/00153/2014
EPI516930|NA|A/Madagascar/00031/2014|EPI_ISL_159634|A_/_H3N2	Madagascar/00031/2014
EPI589784|NA|A/Madagascar/493/2014|EPI_ISL_179363|A_/_H3N2	Madagascar/493/2014
EPI589786|NA|A/Madagascar/897/2014|EPI_ISL_179364|A_/_H3N2	Madagascar/897/2014
EPI515208|NA|A/Madagascar/00147/2014|EPI_ISL_158847|A_/_H3N2	Madagascar/00147/2014
EPI515216|NA|A/Madagascar/04245/2013|EPI_ISL_158851|A_/_H3N2	Madagascar/04245/2013
EPI392291|NA|A/Madagascar/03535/2012|EPI_ISL_128064|A_/_H3N2	Madagascar/03535/2012
EPI392293|NA|A/Madagascar/03536/2012|EPI_ISL_128065|A_/_H3N2	Madagascar/03536/2012
EPI392281|NA|A/Madagascar/03294/2012|EPI_ISL_128059|A_/_H3N2	Madagascar/03294/2012
EPI392279|NA|A/Madagascar/03233/2012|EPI_ISL_128058|A_/_H3N2	Madagascar/03233/2012
EPI561788|NA|A/Madagascar/2739/2014|EPI_ISL_171755|A_/_H3N2	Madagascar/2739/2014
EPI589780|NA|A/Madagascar/2636/2014|EPI_ISL_179361|A_/_H3N2	Madagascar/2636/2014
EPI589774|NA|A/Madagascar/2572/2014|EPI_ISL_179358|A_/_H3N2	Madagascar/2572/2014
EPI561786|NA|A/Madagascar/2735/2014|EPI_ISL_171754|A_/_H3N2	Madagascar/2735/2014
EPI589776|NA|A/Madagascar/2576/2014|EPI_ISL_179359|A_/_H3N2	Madagascar/2576/2014
EPI574622|NA|A/Madagascar/2395/2014|EPI_ISL_175039|A_/_H3N2	Madagascar/2395/2014
EPI561790|NA|A/Madagascar/3069/2014|EPI_ISL_171756|A_/_H3N2	Madagascar/3069/2014
EPI589778|NA|A/Madagascar/2632/2014|EPI_ISL_179360|A_/_H3N2	Madagascar/2632/2014
EPI561782|NA|A/Madagascar/2676/2014|EPI_ISL_171752|A_/_H3N2	Madagascar/2676/2014
EPI561784|NA|A/Madagascar/2714/2014|EPI_ISL_171753|A_/_H3N2	Madagascar/2714/2014
EPI1136443|NA|A/Madagascar/3093/2017|EPI_ISL_290660|A_/_H3N2	Madagascar/3093/2017
EPI1136435|NA|A/Madagascar/3095/2017|EPI_ISL_290659|A_/_H3N2	Madagascar/3095/2017
EPI1136451|NA|A/Madagascar/3319/2017|EPI_ISL_290661|A_/_H3N2	Madagascar/3319/2017
EPI1136427|NA|A/Madagascar/3138/2017|EPI_ISL_290658|A_/_H3N2	Madagascar/3138/2017
EPI1317962|NA|A/Madagascar/424/2018|EPI_ISL_331071|A_/_H3N2	Madagascar/424/2018
EPI1282666|NA|A/Madagascar/424/2018|EPI_ISL_322934|A_/_H3N2	Madagascar/424/2018
EPI1317149|NA|A/Madagascar/1123/2018|EPI_ISL_330970|A_/_H3N2	Madagascar/1123/2018
EPI1282639|NA|A/Madagascar/1123/2018|EPI_ISL_322930|A_/_H3N2	Madagascar/1123/2018
EPI1547087|NA|A/Madagascar/326/2019|EPI_ISL_377904|A_/_H3N2	Madagascar/326/2019
EPI2544064|NA|A/Madagascar/2949/2022|EPI_ISL_17625805|A_/_H3N2	Madagascar/2949/2022
EPI2136129|NA|A/Madagascar/2949/2022|EPI_ISL_14727206|A_/_H3N2	Madagascar/2949/2022
EPI2036688|NA|A/Madagascar/3257/2021|EPI_ISL_12710444|A_/_H3N2	Madagascar/3257/2021
EPI2136209|NA|A/Madagascar/837/2022|EPI_ISL_14727216|A_/_H3N2	Madagascar/837/2022
EPI2036710|NA|A/Madagascar/2994/2021|EPI_ISL_12710447|A_/_H3N2	Madagascar/2994/2021
EPI2136145|NA|A/Madagascar/2829/2022|EPI_ISL_14727208|A_/_H3N2	Madagascar/2829/2022
EPI2036839|NA|A/Madagascar/4813/2021|EPI_ISL_12710465|A_/_H3N2	Madagascar/4813/2021
EPI2366553|NA|A/Madagascar/2040/2022|EPI_ISL_16834337|A_/_H3N2	Madagascar/2040/2022
EPI2136177|NA|A/Madagascar/578/2022|EPI_ISL_14727212|A_/_H3N2	Madagascar/578/2022
EPI2036718|NA|A/Madagascar/3045/2021|EPI_ISL_12710448|A_/_H3N2	Madagascar/3045/2021
EPI2136246|NA|A/Madagascar/798/2022|EPI_ISL_14727221|A_/_H3N2	Madagascar/798/2022
EPI2036774|NA|A/Madagascar/3048/2021|EPI_ISL_12710455|A_/_H3N2	Madagascar/3048/2021
EPI2036798|NA|A/Madagascar/3046/2021|EPI_ISL_12710458|A_/_H3N2	Madagascar/3046/2021
EPI2136169|NA|A/Madagascar/567/2022|EPI_ISL_14727211|A_/_H3N2	Madagascar/567/2022
EPI2036832|NA|A/Madagascar/3000/2021|EPI_ISL_12710464|A_/_H3N2	Madagascar/3000/2021
EPI2036694|NA|A/Madagascar/2997/2021|EPI_ISL_12710445|A_/_H3N2	Madagascar/2997/2021
EPI2036672|NA|A/Madagascar/3263/2021|EPI_ISL_12710442|A_/_H3N2	Madagascar/3263/2021
EPI2136161|NA|A/Madagascar/1624/2022|EPI_ISL_14727210|A_/_H3N2	Madagascar/1624/2022
EPI2136230|NA|A/Madagascar/796/2022|EPI_ISL_14727219|A_/_H3N2	Madagascar/796/2022
EPI2036680|NA|A/Madagascar/4809/2021|EPI_ISL_12710443|A_/_H3N2	Madagascar/4809/2021
EPI2036734|NA|A/Madagascar/3261/2021|EPI_ISL_12710450|A_/_H3N2	Madagascar/3261/2021
EPI2036758|NA|A/Madagascar/2996/2021|EPI_ISL_12710453|A_/_H3N2	Madagascar/2996/2021
