DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	Madagascar vs Africa
EPI902476|NA|B/Madagascar/2550/2011|EPI_ISL_246504|B	#c0392b
EPI346804|NA|B/Madagascar/2550/2011|EPI_ISL_99978|B	#c0392b
EPI902518|NA|B/Madagascar/8699/2011|EPI_ISL_246525|B	#c0392b
EPI346808|NA|B/Madagascar/8699/2011|EPI_ISL_99980|B	#c0392b
EPI902638|NA|B/Madagascar/0245/2011|EPI_ISL_246585|B	#c0392b
EPI346802|NA|B/Madagascar/2354/2011|EPI_ISL_99977|B	#c0392b
EPI346800|NA|B/Madagascar/1191/2011|EPI_ISL_99976|B	#c0392b
EPI902516|NA|B/Madagascar/3866/2011|EPI_ISL_246524|B	#c0392b
EPI346806|NA|B/Madagascar/3866/2011|EPI_ISL_99979|B	#c0392b
EPI902636|NA|B/Madagascar/201119/2011|EPI_ISL_246584|B	#c0392b
EPI210118|NA|B/Madagascar/4551/2009|EPI_ISL_60068|B	#c0392b
EPI210126|NA|B/Madagascar/4254/2009|EPI_ISL_60072|B	#c0392b
EPI243631|NA|B/Madagascar/7279/2009|EPI_ISL_70227|B	#c0392b
EPI243639|NA|B/Madagascar/5618/2009|EPI_ISL_70231|B	#c0392b
EPI279860|NA|B/Madagascar/1184/2010|EPI_ISL_79606|B	#c0392b
EPI279866|NA|B/Madagascar/2766/2010|EPI_ISL_79609|B	#c0392b
EPI279864|NA|B/Madagascar/2766/2010|EPI_ISL_79608|B	#c0392b
EPI243637|NA|B/Madagascar/4867/2009|EPI_ISL_70230|B	#c0392b
EPI243629|NA|B/Madagascar/6945/2009|EPI_ISL_70226|B	#c0392b
EPI243646|NA|B/Madagascar/6103/2009|EPI_ISL_70234|B	#c0392b
EPI243635|NA|B/Madagascar/5680/2009|EPI_ISL_70229|B	#c0392b
EPI243641|NA|B/Madagascar/6028/2009|EPI_ISL_70232|B	#c0392b
EPI210122|NA|B/Madagascar/4550/2009|EPI_ISL_60070|B	#c0392b
EPI243633|NA|B/Madagascar/7135/2009|EPI_ISL_70228|B	#c0392b
EPI243643|NA|B/Madagascar/7002/2009|EPI_ISL_70233|B	#c0392b
EPI210120|NA|B/Madagascar/4554/2009|EPI_ISL_60069|B	#c0392b
EPI210124|NA|B/Madagascar/4540/2009|EPI_ISL_60071|B	#c0392b
EPI279862|NA|B/Madagascar/82/2010|EPI_ISL_79607|B	#c0392b
EPI155893|NA|B/Egypt/3101/2007|EPI_ISL_20622|B	#95a5a6
EPI50933|NA|B/Egypt/2040/2004|EPI_ISL_6579|B	#95a5a6
EPI271908|NA|B/Ghana/FS-2112/2010|EPI_ISL_77019|B	#95a5a6
EPI562674|NA|B/Ethiopia/1154/2014|EPI_ISL_172212|B	#95a5a6
EPI539457|NA|B/South_Africa/68/2014|EPI_ISL_165494|B	#95a5a6
EPI574759|NA|B/Egypt/4395/2014|EPI_ISL_175103|B	#95a5a6
EPI737661|NA|B/Cote_D_Ivoire/1756/2015|EPI_ISL_217521|B	#95a5a6
EPI549763|NA|B/Egypt/ALX6527/2014|EPI_ISL_168399|B	#95a5a6
