Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
4	:	1775730323.921	    14.266	0	93	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_tree.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/trees/subsampled/HA_H6N2.africa.subsampled.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/trees /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/trees/logs
10	:	1775730323.929	    15.474	0	93	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_tree.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/trees/subsampled/NA_H6N2.africa.subsampled.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/trees /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/trees/logs
11	:	1775730323.931	   328.378	0	94	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_tree.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/trees/subsampled/NA_H9N2.africa.subsampled.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/trees /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/trees/logs
5	:	1775730323.923	   713.051	0	94	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_tree.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/trees/subsampled/HA_H9N2.africa.subsampled.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/trees /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/trees/logs
9	:	1775730323.928	  1475.151	0	95	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_tree.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/trees/subsampled/NA_H3N2.africa.subsampled.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/trees /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/trees/logs
7	:	1775730323.925	  1914.078	0	89	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_tree.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/trees/subsampled/NA_B.africa.subsampled.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/trees /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/trees/logs
1	:	1775730323.917	  2279.139	0	89	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_tree.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/trees/subsampled/HA_B.africa.subsampled.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/trees /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/trees/logs
3	:	1775730323.920	  2285.938	0	95	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_tree.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/trees/subsampled/HA_H3N2.africa.subsampled.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/trees /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/trees/logs
