Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
21	:	1774975309.610	     2.284	0	113	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/HA_H2N9.africa.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
23	:	1774975309.923	     2.638	0	117	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/HA_H3.madagascar.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
31	:	1774975310.479	     2.451	0	113	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/HA_H4N8.africa.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
27	:	1774975310.162	     2.913	0	121	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/HA_H3N6.madagascar.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
14	:	1774975306.890	     6.400	0	111	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/HA_H1.africa.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
34	:	1774975310.800	     2.513	0	121	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/HA_H5N1.madagascar.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
26	:	1774975310.110	     3.327	0	115	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/HA_H3N6.africa.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
36	:	1774975311.897	     2.481	0	113	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/HA_H5N3.africa.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
32	:	1774975310.539	     4.463	0	111	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/HA_H5.africa.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
38	:	1774975312.933	     2.694	0	109	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/HA_H6.africa.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
39	:	1774975313.077	     2.644	0	117	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/HA_H6.madagascar.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
30	:	1774975310.473	     6.006	0	123	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/HA_H4N6.madagascar.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
29	:	1774975310.356	     6.788	0	115	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/HA_H4N6.africa.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
35	:	1774975310.814	     6.706	0	115	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/HA_H5N2.africa.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
44	:	1774975315.006	     2.601	0	113	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/HA_H6N8.africa.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
45	:	1774975315.631	     2.440	0	121	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/HA_H6N8.madagascar.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
41	:	1774975313.316	     5.306	0	123	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/HA_H6N1.madagascar.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
37	:	1774975312.564	     6.113	0	112	0	0	bash /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/scripts/run_one_alignment.sh /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/split/HA_H5N8.africa.fasta /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/aligned /pasteur/appa/scratch/cduitama/EDID/Madagascar_influenza/alignments/logs
