NP_H1N2.africa	13	13	OK
NP_H1N2.madagascar	8	8	OK
NP_H1N8.africa	5	5	OK
NP_H2N9.africa	3	3	OK
NP_H3N2.africa	7153	7153	OK
NP_H3N2.madagascar	286	286	OK
NP_H3N6.africa	3	3	OK
NP_H3N8.africa	12	12	OK
NP_H4N6.africa	27	27	OK
NP_H4N6.madagascar	24	24	OK
NP_H4N8.africa	3	3	OK
NP_H5N1.africa	984	984	OK
NP_H5N2.africa	22	22	OK
NP_H5N3.africa	4	4	OK
NP_H5N8.africa	296	296	OK
NP_H6N1.africa	30	30	OK
NP_H6N1.madagascar	28	28	OK
NP_H6N2.africa	66	66	OK
NP_H6N2.madagascar	28	28	OK
NP_H6N8.africa	5	5	OK
NP_H6N8.madagascar	3	3	OK
NP_H7N1.africa	14	14	OK
NP_H7N3.africa	11	11	OK
NP_H7N6.africa	72	72	OK
NP_H7N7.africa	15	15	OK
NP_H7N7.madagascar	3	3	OK
NP_H8N4.africa	3	3	OK
NP_H9N2.africa	862	862	OK
NP_H9N2.madagascar	70	70	OK
NP_H9N6.africa	3	3	OK
NP_H9N6.madagascar	3	3	OK
NS_B.africa	3428	3428	OK
NS_B.madagascar	300	300	OK
NS_C.africa	5	5	OK
NS_H10N1.africa	3	3	OK
NS_H10N6.africa	3	3	OK
NS_H10N7.africa	10	10	OK
NS_H10N8.africa	6	6	OK
NS_H10N9.africa	5	5	OK
NS_H11N1.africa	7	7	OK
NS_H11N2.africa	11	11	OK
NS_H11N2.madagascar	10	10	OK
NS_H11N6.africa	4	4	OK
NS_H11N9.africa	10	10	OK
NS_H1N1.africa	6162	6162	OK
NS_H1N1.madagascar	161	161	OK
NS_H1N2.africa	13	13	OK
NS_H1N2.madagascar	8	8	OK
NS_H1N8.africa	5	5	OK
NS_H2N9.africa	3	3	OK
NS_H3N2.africa	7325	7325	OK
NS_H3N2.madagascar	266	266	OK
NS_H3N6.africa	3	3	OK
NS_H3N8.africa	14	14	OK
NS_H4N6.africa	26	26	OK
NS_H4N6.madagascar	23	23	OK
NS_H4N8.africa	3	3	OK
NS_H5N1.africa	1066	1066	OK
NS_H5N2.africa	22	22	OK
NS_H5N3.africa	4	4	OK
NS_H5N8.africa	314	314	OK
NS_H6N1.africa	31	31	OK
NS_H6N1.madagascar	30	30	OK
NS_H6N2.africa	66	66	OK
NS_H6N2.madagascar	28	28	OK
NS_H6N8.africa	5	5	OK
NS_H6N8.madagascar	3	3	OK
NS_H7N1.africa	12	12	OK
NS_H7N3.africa	11	11	OK
NS_H7N6.africa	72	72	OK
NS_H7N7.africa	18	18	OK
NS_H7N7.madagascar	3	3	OK
NS_H8N4.africa	3	3	OK
NS_H9N2.africa	895	895	OK
NS_H9N2.madagascar	70	70	OK
NS_H9N6.africa	3	3	OK
NS_H9N6.madagascar	3	3	OK
PA_B.africa	2947	2947	OK
PA_B.madagascar	258	258	OK
